id,center_name,address,area,area_id,crm_center_id,crm_area_id,city_id,state_id,country_id,pincode,latitude,longitude,phone_number,status,created_by,updated_by,created_at,updated_at
1,Agra,"2Nd Floor, Rajendra Point, M.G. Road, Raghunath Nagaragra, Uttar Pradesh",Agra,NULL,INUPAGR01,NULL,4536,38,82,282002,27.20097,78.0014003,"0562 - 2527295, 2527320, 9319216943",1,1,0,7/26/2017 10:19,NULL
2,Balleshwar Square,"G-1, Balleshwar Square, Opp Iskon Temple, S.G. Highwayahmedabad, Gujarat",Balleshwar Square,NULL,INGJAHM03,NULL,783,12,82,380015,23.029158,72.5065283,079- 26861740/41/42,1,1,0,7/26/2017 10:19,NULL
3,Allahabad,"11/25-A, First Floor, Above Mochi Showroom, Sardar Patel Marg, Civil Lines, (Opposite Vcc Mall), Allahabadallahabad, Uttar Pradesh",Allahabad,NULL,INUPALH01,NULL,4546,38,82,211001,25.4451179,81.832152,"0532 - 2260801 / 02, 8765046642, 9335632450",1,1,0,7/26/2017 10:19,NULL
4,Ambala Cantt,"172 - C/1, Sb Road Rai Market, Opp. Norton Motors, Ambala Canttambala Cantt, Haryana",Ambala Cantt,NULL,INHRAMB01,NULL,1096,13,82,133001,30.3617704,76.8027475,"0171 - 4002630, 2632690, 2633691",1,1,0,7/26/2017 10:19,NULL
5,Sls Tower,"First Floor, Sls Tower, 100 Feet Road, East Mohan Nagaramritsar, Punjab",Sls Tower,NULL,INPBAMR02,NULL,3134,32,82,143001,31.622262,74.8963673,"0183 - 5080136 / 37, 9888867486",1,1,0,7/26/2017 10:19,NULL
6,Ranjit Avenue,"Sco -27, 28 Gf, Taneja Towers, District Shopping Complex Ranjit Avenue, B-Block Market, Amritsaramritsar, Punjab",Ranjit Avenue,NULL,INPBAMR01,NULL,3134,32,82,143001,31.6510154,74.8609572,0183-5003170-79,1,1,0,7/26/2017 10:19,NULL
7,Aurangabad,"Showroom No 1 & 2, 2Nd Floor, Cts No. 4798, Saraswati Sankul, Opp S.B. College Bus Stop, Nirala Bazar, Aurangpuraaurangabad, Maharashtra",Aurangabad,NULL,INMHAUR01,NULL,453,22,82,431001,20.021429,75.4305383,"0240 - 2345695, 9049499049, 9326121009",1,1,0,7/26/2017 10:19,NULL
8,Woc Road,"Vlcc Health Care Limitedno.19,Sun Edifice, 20Th A Main, Near Mahalakshmi Metro Station, 1St R Block, West Of Chord Road, Rajaji Nagar,Bangalore, Karnataka",Woc Road,NULL,INKRBAN05,NULL,1558,17,82,560010,13.00779,77.5466263,"080 65555631/32, 07406627288",1,1,0,7/26/2017 10:19,NULL
9,Hrbr Layout,"4M/507, 3Rd Block, Kammanahalli Main Roadhrbr Layoutbengaluru, Karnataka",Hrbr Layout,NULL,INKRBAN04,NULL,1558,17,82,560043,13.0220515,77.6377255,8151985444,1,1,0,7/26/2017 10:19,NULL
10,Sada Shiv Nagar,"# 190, New Ward No. 35, Jp Square, 3Rd Floor, Sankey Road Opp. Bharat Petrol Pump, Sadashivnagarbangalore, Karnataka",Sada Shiv Nagar,NULL,INKRBAN02,NULL,1558,17,82,560080,21.849001,82.7434851,"080 - 41131761 / 762, 41534054",1,1,0,7/26/2017 10:19,NULL
11,Indira Nagar,"2015, 16Th Main Hal, 2Nd Stage, 100 Feet Road, Near Reebok Showroom Opposite Deputy Commissioner Police Officebangalore, Karnataka",Indira Nagar,NULL,INKRBAN06,NULL,1558,17,82,560008,12.966581,77.6394793,"080 - 42141726 / 27, 65702790, 25211742",1,1,0,7/26/2017 10:19,NULL
12,Whitefield,"The Planet No: 54, Sy No: 14,Above Food World Opposite Brookebond, Whitefield Main Road,Gidden Layout,Whitefieldbangalore, Karnataka",Whitefield,NULL,INKRBAN11,NULL,1558,17,82,560066,12.9639487,77.7464411,080 - 41714880 / 81 / 82,1,1,0,7/26/2017 10:19,NULL
13,Jaya Nagar,"No. 96/5 Southend Road, Southend Circle, Basavangudi,Opposite Deputy Commissioner Police Officebangalore, Karnataka",Jaya Nagar,NULL,INKRBAN03,NULL,1558,17,82,560004,13.0004666,77.479365,080 - 41204700,1,1,0,7/26/2017 10:19,NULL
14,Koramangala,"C-7, Bmp Ward 67, Near Bethany School Ganesh Temple Road, Koramangalabangalore, Karnataka",Koramangala,NULL,INKRBAN01,NULL,1558,17,82,560034,12.9380778,77.6165426,080 - 25501820 / 21,1,1,0,7/26/2017 10:19,NULL
15,J P Nagar,"447-A, Sri Gurukpupa Complex, 9Th Cross, 2Nd Phase Jp Nagar, Next To Tirumala Templebangalore, Karnataka",J P Nagar,NULL,INKRBAN07,NULL,1558,17,82,560078,12.9369109,77.5441345,"080-65307766/7788, 080-26585715",1,1,0,7/26/2017 10:19,NULL
16,HSR,"1660 & 1661, Ground Floor,27Th Main Road 2Nd Sector,Hsr Layoutbangalore, Karnataka",HSR,NULL,INKRBAN12,NULL,1558,17,82,560102,12.9392235,77.5520823,080-29763227/28/29,1,1,0,7/26/2017 10:19,NULL
17,Bareilly,"63/64,Gks Palace,Civil Lines,Choupla Roadbareilly, Uttar Pradesh",Bareilly,NULL,INUPBRL01,NULL,4612,38,82,243001,28.353554,79.4121443,"0581-2570256,0065",1,1,0,7/26/2017 10:19,NULL
18,Bhopal,"47/A Malviya Nagar, Near Tanishq Showroom, New Marketbhopal, Madhya Pradesh",Bhopal,NULL,INMPBHO01,NULL,2145,21,82,462003,23.2335422,77.4010356,07554232201/02/03,1,1,0,7/26/2017 10:19,NULL
19,Kharvel Nagar,"5, Janpath, 1St Floor, Near Ram Mandir, Kharvel Nagar, Unit-Iiibhubaneswar , Odisha",Kharvel Nagar,NULL,INORBHU01,NULL,2995,29,82,751001,20.276766,85.8417643,0674-2380579/3299940,1,1,0,7/26/2017 10:19,NULL
20,Mani Majra,"Sco - 43, Pocket No.1, Chandigarh Kalka Highway, Manimajrachandigarh, Punjab",Mani Majra,NULL,INPBCHD03,NULL,594,6,82,160101,30.716667,76.833333,"0172 - 4625566, 4626677, 4628877",1,1,0,7/26/2017 10:19,NULL
21,Sector 35 C,"Sco-425/426 Sector 35C, Chandigarhchandigarh, Punjab",Sector 35 C,NULL,INPBCHD01,NULL,594,6,82,160022,30.7225041,76.7592486,0172-2600424/425,1,1,0,7/26/2017 10:19,NULL
22,Anna Nagar,"Plot No. 3792, Old No. 89, New No. 12 Q Block, 4Th Main Road, Behind Yesyes Super Market,Anna Nagarchennai, Tamil Nadu",Anna Nagar,NULL,INTNCHN04,NULL,3659,35,82,600040,13.0878259,80.2115863,044-43016661/2/3,1,1,0,7/26/2017 10:19,NULL
23,Ph Road,"No.323, Diamond Dune, Poonamallee High Road, Next To Pachiappas College, Aminjikaraichennai, Tamil Nadu",Ph Road,NULL,INTNCHN01,NULL,3659,35,82,600029,13.07483,80.2295283,"044 - 26680548/828,42698771/2",1,1,0,7/26/2017 10:19,NULL
24,Ttk Road,"No. 79 , C.P Ramaswamy Road, Alwarpetchennai, Tamil Nadu",Ttk Road,NULL,INTNCHN02,NULL,3659,35,82,600080,13.034489,80.2389865,"04424671918/1966, 24985209/ 5236",1,1,0,7/26/2017 10:19,NULL
25,Adyar,"No. 82/51, Indira Nagar, 1St Avenue, Adyarchennai, Tamil Nadu",Adyar,NULL,INTNCHN03,NULL,3659,35,82,600020,12.997886,80.2493613,"044- 24422133/34, 42695200/300",1,1,0,7/26/2017 10:19,NULL
26,Velachery,"No. 9 & 26, Taramani 100 Ft. Road, Ramagiri, Opposite To Tcs Building, Velacherychennai, Tamil Nadu",Velachery,NULL,INTNCHN05,NULL,3659,35,82,600042,12.981756,80.2291723,044-45114015/16/17,1,1,0,7/26/2017 10:19,NULL
27,R.S. Puram,"No. 1 East Periasamy Road, Opposite Lotus Eye Hospital, R.S. Puramcoimbatore , Tamil Nadu",R.S. Puram,NULL,INTNCOM02,NULL,3683,35,82,641002,11.0130765,76.9470301,"0422-4347722,0422-4367722,0422-4387722",1,1,0,7/26/2017 10:19,NULL
28,Race Course Road,"184,Near Thomas Park,Race Course Roadcoimbatore , Tamil Nadu",Race Course Road,NULL,INTNCOM01,NULL,3683,35,82,641018,11.0022631,76.9802248,"0422-4397722,4397733,4397072",1,1,0,7/26/2017 10:19,NULL
29,Dehradun,"448/1, 1St Floor,Opposite Hotel Great Value Rajpur Road,Dehradun, Uttarakhand",Dehradun,NULL,INURDHD01,NULL,5236,39,82,248001,30.3281364,78.0120918,01352743402/03,1,1,0,7/26/2017 10:19,NULL
30,Gk - 2,"M-14, M-Block Market,Greater Kailash-Iinew Delhi, Delhi",Gk - 2,NULL,INDLDEL19,NULL,706,10,82,110048,28.5423962,77.2296552,"011 - 41632463 / 64, 41631975 / 76",1,1,0,7/26/2017 10:19,NULL
31,Dwarka,"101, 1St Floor, Hl Wings, Plot No 2, Pocket-4, Sec-11New Delhi, Delhi",Dwarka,NULL,INDLDEL24,NULL,706,10,82,110075,28.5864095,77.0462514,011-28042878/40618986,1,1,0,7/26/2017 10:19,NULL
32,Vasant Vihar,"22 Community Centre, Basant Lok, Priya Complex, Vasant Viharnew Delhi, Delhi",Vasant Vihar,NULL,INDLDEL14,NULL,706,10,82,110057,28.5589953,77.1616508,011-26155561-64,1,1,0,7/26/2017 10:19,NULL
33,Janakpuri,"A1/163A, Main Najafgarh Road, Janak Puri, (Opp Metro Pillar No. 621)New Delhi, Delhi",Janakpuri,NULL,INDLDEL15,NULL,706,10,82,110058,28.6263706,77.0690391,"011 - 25511051, 41573052, 8744051594",1,1,0,7/26/2017 10:19,NULL
34,"Malviya Nagar, Delhi","C-51, First Floor, Main Market, Near Laxmi Narayan Temple, Malviya Nagarnew Delhi, Delhi",Malviya Nagar,NULL,INDLDEL25,NULL,706,10,82,110017,28.5348185,77.2075658,"011 - 41033959, 26687333/ 444",1,1,0,7/26/2017 10:19,NULL
35,Safdarjung Enclave,"B-4/52, Safdarjung Enclavenew Delhi, Delhi",Safdarjung Enclave,NULL,INDLDEL23,NULL,706,10,82,110029,28.559962,77.1970093,"011 - 26182075 / 76, 26197158 / 59",1,1,0,7/26/2017 10:19,NULL
36,Pusa Road,"11/1 B, Pusa Roadnew Delhi, Delhi",Pusa Road,NULL,INDLDEL10,NULL,706,10,82,110060,28.559944,77.1291578,011 - 25824200 / 01,1,1,0,7/26/2017 10:19,NULL
37,New Friends Colony,"Vlcc Healthcare Ltd. 47, 1St Floor, Community Center Market, New Friends Colony, Near Mtnl Officenew Delhi, Delhi",New Friends Colony,NULL,INDLDEL06,NULL,706,10,82,110025,28.5620153,77.2666741,011-26318884/5/6,1,1,0,7/26/2017 10:19,NULL
38,Punjabi Bagh West,"Building No 35, 1St 2Nd & 3Rd Floor, Central Market, Punjabi Baghnew Delhi, Delhi",Punjabi Bagh West,NULL,INDLDEL09,NULL,706,10,82,110026,28.670961,77.1323113,"011 - 25228003, 25224514, 45087277, 9810381191",1,1,0,7/26/2017 10:19,NULL
39,Pitampura,"203-204, 2Nd Floor, P.P.Towers, Netaji Subhash Place, Pitampuranew Delhi, Delhi",Pitampura,NULL,INDLDEL07,NULL,706,10,82,110034,28.6957377,77.1426672,"011-27353488, 011-27355006, 011-47047434",1,1,0,7/26/2017 10:19,NULL
40,Model Town,"F-14/30, Model Town-Iinew Delhi, Delhi",Model Town,NULL,INDLDEL04,NULL,706,10,82,110009,28.707347,77.1893033,"011-27417371, 72",1,1,0,7/26/2017 10:19,NULL
41,Preet Vihar,"G-85, Main Vikas Marg, Preet Viharnew Delhi, Delhi",Preet Vihar,NULL,INDLDEL08,NULL,706,10,82,110092,28.642385,77.2947726,011 - 42421001/02/03,1,1,0,7/26/2017 10:19,NULL
42,Sector 16,"Sco - 5 ,1St Floor, Sector 16, Near Yes Bank, Faridabadfaridabad, Haryana",Sector 16,NULL,INURDHD01,NULL,1119,13,82,121001,28.413955,77.3189153,0129-2268937 / 2269901/02,1,1,0,7/26/2017 10:19,NULL
43,Indirapuram,"Ground Floor 10, Gaur Gravity-8, Vaibhav Khand, Indirapuramghaziabad, Uttar Pradesh",Indirapuram,NULL,INUPGHZ02,NULL,4759,38,82,201014,28.63403,77.3584283,0120 - 4115516 / 17 / 18,1,1,0,7/26/2017 10:19,NULL
44,Rajnagar,"D-Block 26,27 First Floor Rdc, Opposite Gaur Central Mallghaziabad, Uttar Pradesh",Rajnagar,NULL,INUPGHZ01,NULL,4759,38,82,201001,28.674418,77.4373013,0120.2821940/3941/4273,1,1,0,7/26/2017 10:19,NULL
45,Panjim,"Casa Albela Villa,Near Campal Clinic,Campalpanjim, Goa",Panjim,NULL,INGOGOA01,NULL,733,11,82,403001,15.488434,73.8131823,0832 - 2421429 / 30,1,1,0,7/26/2017 10:19,NULL
46,Sohna Road,"Shop No. 22, Vatika City Market, Sector- 49, Sohna Roadgurugram, Haryana",Sohna Road,NULL,INHRGUR04,NULL,1126,13,82,122018,28.4022755,77.0433627,"0124-4032370,8744051970",1,1,0,7/26/2017 10:19,NULL
47,Dlf Phase I,"A-14/23, Dlf Phase-1Gurugram, Haryana",Dlf Phase I,NULL,INHRGUR01,NULL,1126,13,82,122001,28.4692399,77.0840781,0124-2354900-01,1,1,0,7/26/2017 10:19,NULL
48,Palam Vihar,"Sco 60, Dsc Sector 23A, Opp H. P. Petrol Pumpgurugram, Haryana",Palam Vihar,NULL,INHRGUR02,NULL,1126,13,82,122017,28.5084796,77.0639631,0124 - 4205470 / 71,1,1,0,7/26/2017 10:19,NULL
49,Gnb Road,"3Rd Floor,Agni Shanti Business Park Opposite Agp Office,Gnb Road,Ambariguwahati, Assam",Gnb Road,NULL,INASGUW02,NULL,371,4,82,781001,26.183878,91.7515533,"0361-2373816/876, +919859928108",1,1,0,7/26/2017 10:19,NULL
50,Christian Basti,"3Rd Floor,J.K Heritage,G.S Road, Christianbasti,Guwahatiguwahati, Assam",Christian Basti,NULL,INASGUW01,NULL,371,4,82,781005,26.157256,91.7747303,"0361-2345555,2346666",1,1,0,7/26/2017 10:19,NULL
51,Gwalior,"45A,Gf City Centre,Opposite Airtel Officegwalior, Madhya Pradesh",Gwalior,NULL,INMPGWL01,NULL,2214,21,82,474001,26.20595,78.1867063,0751 - 4015700 / 800,1,1,0,7/26/2017 10:19,NULL
52,Hubli,"4/1, 1St Floor, Kvm Plaza, Opp Sona Chamber, Next To Jtk Showroom, Club Roadopposite Deputy Commissioner Police Officehubli, Karnataka",Hubli,NULL,INKRHUB01,NULL,1647,17,82,580029,21.84924,82.7786323,083 - 62358833 / 34,1,1,0,7/26/2017 10:19,NULL
53,Kukatpally,"H No. 211, First Floor,Mig 1,Road Number 1 Near Icici Direct,Kphb Colonyhyderabad, Telangana",Kukatpally,NULL,INAPHYD07,NULL,4460,2,82,500072,21.849679,82.7775163,"040-23151686,152686,153686",1,1,0,7/26/2017 10:19,NULL
54,As Rao Nagar,"Block Number 18,Maruthi Arcade,Dr. As Rao Nagarhyderabad, Telangana",As Rao Nagar,NULL,INAPHYD05,NULL,4460,2,82,500062,17.4816259,78.5512747,040-27140652,1,1,0,7/26/2017 10:19,NULL
55,Hi-Tech City,"No. 291/14/9/2, Bhasker Empire, Opp. Jayabheri Silicon County, Kondapurhyderabad, Telangana",Hi-Tech City,NULL,INAPHYD03,NULL,4460,2,82,500032,19.6174265,78.3607038,04023113856/57/67,1,1,0,7/26/2017 10:19,NULL
